indice,metodo,tipo,tamanho,tempo1,tempo2,tempo3,tempo4,tempo5,tempo6,tempo7,tempo8,tempo9,tempo10
0,quickLS,1,10000,0.001247,0.001175,0.001186,0.001204,0.001159,0.001199,0.001158,0.001180,0.001186,0.001166
1,quickLS,1,50000,0.006893,0.006752,0.007167,0.006921,0.006866,0.006820,0.007418,0.007698,0.007667,0.007732
2,quickLS,1,100000,0.015348,0.014211,0.014290,0.014043,0.013816,0.013767,0.013899,0.014122,0.013848,0.013808
3,quickLS,1,500000,0.078635,0.079737,0.081457,0.077863,0.078166,0.078055,0.076646,0.077219,0.077104,0.078618
4,quickLS,1,1000000,0.152225,0.155618,0.153919,0.145145,0.143162,0.134449,0.149151,0.146923,0.135716,0.137610
5,quickLS,2,10000,0.000884,0.000920,0.000892,0.001041,0.001248,0.001430,0.001279,0.001155,0.001137,0.001113
6,quickLS,2,50000,0.006414,0.006478,0.006449,0.006516,0.006361,0.006453,0.006420,0.006436,0.006368,0.006456
7,quickLS,2,100000,0.014457,0.013726,0.013648,0.013755,0.014120,0.013831,0.013721,0.013832,0.013783,0.013842
8,quickLS,2,500000,0.073002,0.073750,0.074842,0.066714,0.066024,0.066226,0.067546,0.067640,0.072399,0.077767
9,quickLS,2,1000000,0.133214,0.133627,0.131705,0.134553,0.133634,0.131986,0.132984,0.147614,0.156394,0.139631
10,quick0,1,10000,0.000965,0.000938,0.000931,0.000961,0.001177,0.001300,0.001442,0.001327,0.001280,0.001202
11,quick0,1,50000,0.006604,0.006772,0.006722,0.006888,0.006746,0.006580,0.006962,0.006669,0.007112,0.006602
12,quick0,1,100000,0.014202,0.014063,0.014122,0.014240,0.014239,0.014056,0.014051,0.014020,0.014612,0.014063
13,quick0,1,500000,0.073411,0.074012,0.068713,0.070332,0.070823,0.070533,0.068008,0.068424,0.069730,0.071477
14,quick0,1,1000000,0.138270,0.135828,0.134548,0.137080,0.140291,0.137841,0.137920,0.139838,0.139253,0.136503
15,quick0,2,10000,0.000932,0.000973,0.000920,0.000937,0.001161,0.001380,0.001469,0.001110,0.001167,0.001127
16,quick0,2,50000,0.006667,0.007047,0.006481,0.006869,0.006574,0.006600,0.006425,0.006707,0.006586,0.006752
17,quick0,2,100000,0.014233,0.013941,0.013822,0.013830,0.013922,0.013781,0.014126,0.013969,0.014042,0.013899
18,quick0,2,500000,0.072308,0.068087,0.068151,0.071327,0.066759,0.068281,0.067445,0.069042,0.067292,0.071957
19,quick0,2,1000000,0.142280,0.144074,0.139526,0.143600,0.148247,0.144321,0.149122,0.138982,0.140701,0.142326
20,quickM,1,10000,0.001067,0.001104,0.001041,0.001104,0.001315,0.001549,0.001426,0.001407,0.001749,0.001863
21,quickM,1,50000,0.007935,0.012628,0.012641,0.012039,0.009214,0.007668,0.007177,0.006918,0.007548,0.007768
22,quickM,1,100000,0.015235,0.015325,0.014893,0.014803,0.014695,0.014758,0.014652,0.015262,0.014848,0.014756
23,quickM,1,500000,0.081153,0.077050,0.074382,0.074653,0.074598,0.076494,0.075330,0.075029,0.075805,0.081863
24,quickM,1,1000000,0.149933,0.151317,0.150554,0.150851,0.153044,0.151696,0.152982,0.149824,0.152715,0.193369
25,quickM,2,10000,0.001250,0.001228,0.001338,0.001613,0.001726,0.002067,0.001824,0.001632,0.001870,0.001715
26,quickM,2,50000,0.009252,0.008200,0.008443,0.009373,0.010890,0.010588,0.008033,0.008664,0.008772,0.007806
27,quickM,2,100000,0.018324,0.017697,0.017211,0.018489,0.017223,0.017073,0.019646,0.021717,0.018704,0.018469
28,quickM,2,500000,0.090223,0.088634,0.090782,0.093069,0.088664,0.090365,0.088157,0.090757,0.077462,0.073563
29,quickM,2,1000000,0.152154,0.150775,0.151664,0.141713,0.143562,0.142706,0.142142,0.142644,0.143621,0.145409
30,shellSort,1,10000,0.001387,0.001511,0.001497,0.001362,0.001320,0.001356,0.001536,0.001346,0.001541,0.001338
31,shellSort,1,50000,0.010154,0.010098,0.010398,0.010333,0.010590,0.010010,0.010072,0.010160,0.010781,0.010713
32,shellSort,1,100000,0.023093,0.023610,0.022387,0.022708,0.022967,0.023941,0.027559,0.024619,0.023162,0.023724
33,shellSort,1,500000,0.130516,0.129558,0.138778,0.136843,0.130617,0.138388,0.133310,0.163741,0.128971,0.132836
34,shellSort,1,1000000,0.307064,0.300838,0.293032,0.285485,0.288659,0.307269,0.302341,0.344947,0.307472,0.300038
35,shellSort,2,10000,0.001402,0.001364,0.001373,0.002279,0.002032,0.001757,0.001597,0.001629,0.001514,0.001620
36,shellSort,2,50000,0.011227,0.012210,0.012122,0.010520,0.010642,0.010156,0.010062,0.010357,0.010931,0.010282
37,shellSort,2,100000,0.022618,0.022613,0.022435,0.022156,0.024319,0.022347,0.022986,0.022272,0.022287,0.023223
38,shellSort,2,500000,0.129732,0.129538,0.122648,0.130787,0.131471,0.134546,0.123815,0.130376,0.126183,0.129630
39,shellSort,2,1000000,0.290596,0.289996,0.274728,0.280683,0.278553,0.272504,0.326648,0.336065,0.317212,0.322450
40,mergeSort,1,10000,0.001873,0.001929,0.001818,0.001717,0.001757,0.001758,0.001737,0.001809,0.002238,0.002521
41,mergeSort,1,50000,0.012141,0.011724,0.011827,0.011782,0.011122,0.009552,0.010508,0.010515,0.009583,0.009866
42,mergeSort,1,100000,0.022917,0.022523,0.023027,0.022621,0.022803,0.021795,0.023840,0.022872,0.022790,0.021482
43,mergeSort,1,500000,0.111554,0.106837,0.108800,0.130982,0.132560,0.128722,0.122831,0.126031,0.123703,0.117998
44,mergeSort,1,1000000,0.239519,0.224670,0.246356,0.242686,0.199970,0.224795,0.194227,0.189850,0.192235,0.192393
45,mergeSort,2,10000,0.001544,0.001390,0.001581,0.001810,0.001738,0.001570,0.001595,0.001571,0.001632,0.001702
46,mergeSort,2,50000,0.009574,0.009207,0.009540,0.009394,0.009418,0.009191,0.009050,0.009293,0.009505,0.009160
47,mergeSort,2,100000,0.019626,0.019148,0.019170,0.019035,0.019564,0.019502,0.019221,0.019549,0.019310,0.019376
48,mergeSort,2,500000,0.109877,0.094632,0.101090,0.112824,0.095969,0.097019,0.099005,0.098365,0.097181,0.097235
49,mergeSort,2,1000000,0.197532,0.196742,0.202528,0.199987,0.200801,0.197588,0.198778,0.201596,0.196777,0.197400
50,heapSort,1,10000,0.001918,0.001824,0.002227,0.002489,0.002525,0.002024,0.002211,0.001945,0.001900,0.002036
51,heapSort,1,50000,0.013037,0.012969,0.013087,0.012787,0.012640,0.012449,0.012853,0.012944,0.012499,0.012781
52,heapSort,1,100000,0.027601,0.027099,0.026803,0.027309,0.027661,0.028168,0.027166,0.027109,0.026058,0.028085
53,heapSort,1,500000,0.153769,0.146054,0.149079,0.148766,0.144102,0.152247,0.145117,0.151776,0.144083,0.150510
54,heapSort,1,1000000,0.333681,0.330468,0.328551,0.341170,0.343639,0.346780,0.333718,0.333065,0.344311,0.342376
55,heapSort,2,10000,0.001745,0.001789,0.001902,0.002582,0.002425,0.002101,0.002001,0.002006,0.002003,0.002167
56,heapSort,2,50000,0.012179,0.013049,0.012623,0.012716,0.014190,0.013069,0.012747,0.012663,0.012492,0.012645
57,heapSort,2,100000,0.027410,0.027170,0.026597,0.030856,0.027200,0.026794,0.027452,0.027331,0.027659,0.027143
58,heapSort,2,500000,0.154907,0.176846,0.144593,0.144076,0.144086,0.164972,0.149977,0.140334,0.147160,0.141679
